N_CTX,Triton [FP16],Triton [FP8]
1024.000000,54.871602,57.900920
2048.000000,59.320688,61.590115
4096.000000,62.990755,64.684598
8192.000000,67.016019,65.875347
16384.000000,67.809203,66.897715
