N_CTX,Triton [FP16],Triton [FP8]
1024.000000,62.308798,64.679520
2048.000000,63.621006,65.763526
4096.000000,67.568538,66.436945
8192.000000,68.124344,67.552329
16384.000000,68.062271,66.554625
