N_CTX,Triton [FP16],Triton [FP8]
1024.000000,46.488319,46.443609
2048.000000,54.555369,61.112456
4096.000000,60.082351,66.017604
8192.000000,63.108387,68.671134
16384.000000,62.531824,69.257488
