N_CTX,Triton [FP16],Triton [FP8]
1024.000000,47.091263,46.707461
2048.000000,56.903404,56.888128
4096.000000,64.558161,63.258777
8192.000000,69.276183,69.271601
16384.000000,70.595857,70.092849
