N_CTX,Triton [FP16],Triton [FP8]
1024.000000,59.767219,66.479417
2048.000000,64.200007,68.272698
4096.000000,65.381913,68.130825
8192.000000,63.945557,68.975514
16384.000000,60.561373,69.898453
